pool-1-thread-1, CONTAINS, 11687889830315, LIN_CON, 11687889837967, RET, false, 11687889842417
pool-1-thread-2, CONTAINS, 11687889856939, LIN_CON, 11687889872543, RET, false, 11687889879532
pool-1-thread-1, CONTAINS, 11687889895514, LIN_CON, 11687889907446, RET, false, 11687889912800
pool-1-thread-2, ADD, 11687889896329, LIN_ADD, 11687889912139, RET, true, 11687889920132
pool-1-thread-1, REMOVE, 11687889935911, LIN_REM, 11687889948372, RET, true, 11687889952740
pool-1-thread-2, ADD, 11687889946536, LIN_ADD, 11687889987079, RET, true, 11687889995463
pool-1-thread-1, CONTAINS, 11687889966651, LIN_CON, 11687889973808, RET, false, 11687889977394
pool-1-thread-1, ADD, 11687889990345, LIN_ADD, 11687889998467, RET, false, 11687890003017
pool-1-thread-1, CONTAINS, 11687890009863, LIN_CON, 11687890015601, RET, true, 11687890018119
pool-1-thread-2, CONTAINS, 11687890015383, LIN_CON, 11687890032423, RET, true, 11687890040670
pool-1-thread-1, REMOVE, 11687890025641, LIN_REM, 11687890033099, RET, true, 11687890038624
pool-1-thread-1, REMOVE, 11687890046058, LIN_REM, 11687890051862, RET, false, 11687890054564
pool-1-thread-2, ADD, 11687890057136, LIN_ADD, 11687890081163, RET, true, 11687890088786
pool-1-thread-1, CONTAINS, 11687890061813, LIN_CON, 11687890069130, RET, false, 11687890072433
pool-1-thread-1, ADD, 11687890084722, LIN_ADD, 11687890092188, RET, false, 11687890096553
pool-1-thread-2, ADD, 11687890106110, LIN_ADD, 11687890118543, RET, false, 11687890125930
pool-1-thread-1, CONTAINS, 11687890108954, LIN_CON, 11687890115928, RET, true, 11687890119490
pool-1-thread-1, REMOVE, 11687890126972, LIN_REM, 11687890137947, RET, true, 11687890143321
pool-1-thread-2, REMOVE, 11687890143123, LIN_REM, 11687890195423, RET, false, 11687890207020
pool-1-thread-1, CONTAINS, 11687890150794, LIN_CON, 11687890158040, RET, false, 11687890160402
pool-1-thread-1, REMOVE, 11687890168956, LIN_REM, 11687890173858, RET, false, 11687890176263
pool-1-thread-1, CONTAINS, 11687890181908, LIN_CON, 11687890187407, RET, false, 11687890189788
pool-1-thread-1, REMOVE, 11687890195296, LIN_REM, 11687890199983, RET, false, 11687890203352
pool-1-thread-1, REMOVE, 11687890209177, LIN_REM, 11687890215390, RET, false, 11687890217800
pool-1-thread-1, ADD, 11687890224607, LIN_ADD, 11687890232510, RET, true, 11687890236269
pool-1-thread-2, CONTAINS, 11687890226733, LIN_CON, 11687890244946, RET, true, 11687890274710
pool-1-thread-1, CONTAINS, 11687890243400, LIN_CON, 11687890260212, RET, true, 11687890264229
pool-1-thread-1, CONTAINS, 11687890270694, LIN_CON, 11687890277318, RET, true, 11687890282092
pool-1-thread-1, CONTAINS, 11687890287919, LIN_CON, 11687890292609, RET, true, 11687890294477
pool-1-thread-2, CONTAINS, 11687890294173, LIN_CON, 11687890316446, RET, false, 11687890322170
pool-1-thread-1, REMOVE, 11687890300697, LIN_REM, 11687890308843, RET, true, 11687890315154
pool-1-thread-1, REMOVE, 11687890320992, LIN_REM, 11687890326578, RET, false, 11687890330101
pool-1-thread-1, REMOVE, 11687890336329, LIN_REM, 11687890340206, RET, false, 11687890342365
pool-1-thread-2, CONTAINS, 11687890337520, LIN_CON, 11687890360300, RET, true, 11687890366846
pool-1-thread-1, ADD, 11687890351518, LIN_ADD, 11687890360586, RET, true, 11687890363389
pool-1-thread-1, CONTAINS, 11687890371114, LIN_CON, 11687890377558, RET, true, 11687890379496
pool-1-thread-2, ADD, 11687890381923, LIN_ADD, 11687890394397, RET, false, 11687890401326
pool-1-thread-1, CONTAINS, 11687890385928, LIN_CON, 11687890392810, RET, true, 11687890395291
pool-1-thread-1, CONTAINS, 11687890420582, LIN_CON, 11687890430050, RET, true, 11687890432566
pool-1-thread-2, REMOVE, 11687890427277, LIN_REM, 11687890452379, RET, true, 11687890459760
pool-1-thread-1, ADD, 11687890441003, LIN_ADD, 11687890456969, RET, true, 11687890460570
pool-1-thread-1, ADD, 11687890466729, LIN_ADD, 11687890471863, RET, false, 11687890473872
pool-1-thread-2, ADD, 11687890474502, LIN_ADD, 11687890484911, RET, false, 11687890490717
pool-1-thread-1, ADD, 11687890480384, LIN_ADD, 11687890486266, RET, false, 11687890489185
pool-1-thread-1, REMOVE, 11687890495725, LIN_REM, 11687890502668, RET, true, 11687890505811
pool-1-thread-2, REMOVE, 11687890504576, LIN_REM, 11687890533958, RET, false, 11687890540133
pool-1-thread-1, CONTAINS, 11687890512613, LIN_CON, 11687890521267, RET, false, 11687890523318
pool-1-thread-1, CONTAINS, 11687890531822, LIN_CON, 11687890537210, RET, false, 11687890540825
pool-1-thread-2, CONTAINS, 11687890614841, LIN_CON, 11687890653346, RET, false, 11687890697300
pool-1-thread-1, REMOVE, 11687890643249, LIN_REM, 11687890658915, RET, false, 11687890662690
pool-1-thread-2, CONTAINS, 11687890728164, LIN_CON, 11687890744146, RET, false, 11687890750275
pool-1-thread-1, REMOVE, 11687890733466, LIN_REM, 11687890743585, RET, false, 11687890746284
pool-1-thread-1, CONTAINS, 11687890754895, LIN_CON, 11687890790849, RET, false, 11687890795598
pool-1-thread-2, REMOVE, 11687890765014, LIN_REM, 11687890776235, RET, false, 11687890781072
pool-1-thread-2, ADD, 11687890794300, LIN_ADD, 11687890820300, RET, true, 11687890827669
pool-1-thread-1, REMOVE, 11687890805731, LIN_REM, 11687890835626, RET, true, 11687890840834
pool-1-thread-2, ADD, 11687890841567, LIN_ADD, 11687890854915, RET, true, 11687890861183
pool-1-thread-1, ADD, 11687890848637, LIN_ADD, 11687890856205, RET, false, 11687890860228
pool-1-thread-1, REMOVE, 11687890868151, LIN_REM, 11687890876704, RET, true, 11687890880451
pool-1-thread-2, REMOVE, 11687890875229, LIN_REM, 11687890886900, RET, false, 11687890892251
pool-1-thread-1, ADD, 11687890888379, LIN_ADD, 11687890898304, RET, true, 11687890902266
pool-1-thread-2, REMOVE, 11687890905804, LIN_REM, 11687890925647, RET, true, 11687891036349
pool-1-thread-1, ADD, 11687890908683, LIN_ADD, 11687890921091, RET, false, 11687890923308
pool-1-thread-1, REMOVE, 11687890928523, LIN_REM, 11687890934310, RET, false, 11687890936557
pool-1-thread-1, CONTAINS, 11687890941517, LIN_CON, 11687890987096, RET, false, 11687890990399
pool-1-thread-1, CONTAINS, 11687891002384, LIN_CON, 11687891013686, RET, false, 11687891016301
pool-1-thread-1, ADD, 11687891021841, LIN_ADD, 11687891027610, RET, true, 11687891029732
pool-1-thread-1, CONTAINS, 11687891034896, LIN_CON, 11687891040130, RET, true, 11687891042554
pool-1-thread-1, REMOVE, 11687891047773, LIN_REM, 11687891058984, RET, true, 11687891062828
pool-1-thread-2, CONTAINS, 11687891061177, LIN_CON, 11687891081026, RET, true, 11687891086792
pool-1-thread-1, ADD, 11687891069212, LIN_ADD, 11687891076800, RET, true, 11687891079567
pool-1-thread-1, CONTAINS, 11687891085114, LIN_CON, 11687891091938, RET, true, 11687891098207
pool-1-thread-2, CONTAINS, 11687891101251, LIN_CON, 11687891175324, RET, false, 11687891184534
