577735379946292, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735381308209, pool-1-thread-6, [CONTAINS] FAILED, 8 does not exist in the list.
577735381672042, pool-1-thread-1, [ADD] FAILED, 8 exists in the list.
577735381562542, pool-1-thread-7, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735381689292, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735381316042, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735381361667, pool-1-thread-8, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735381422792, pool-1-thread-2, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735381338292, pool-1-thread-5, [ADD] SUCCEEDED, 8 added to the list.
577735383759375, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735383664375, pool-1-thread-7, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735383702584, pool-1-thread-3, [REMOVE] FAILED, 8 does not exist in the list.
577735383847959, pool-1-thread-7, [CONTAINS] FAILED, 8 does not exist in the list.
577735383865500, pool-1-thread-3, [REMOVE] FAILED, 8 does not exist in the list.
577735383891000, pool-1-thread-3, [CONTAINS] FAILED, 8 does not exist in the list.
577735383819875, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735383724875, pool-1-thread-4, [REMOVE] FAILED, 8 does not exist in the list.
577735383910709, pool-1-thread-3, [CONTAINS] FAILED, 8 does not exist in the list.
577735383954667, pool-1-thread-4, [CONTAINS] FAILED, 8 does not exist in the list.
577735383874459, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735384161709, pool-1-thread-8, [ADD] SUCCEEDED, 8 added to the list.
577735384459334, pool-1-thread-5, [ADD] FAILED, 8 exists in the list.
577735384344542, pool-1-thread-2, [ADD] FAILED, 8 exists in the list.
577735384694375, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735383596667, pool-1-thread-6, [ADD] FAILED, 8 exists in the list.
577735383988959, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735383673459, pool-1-thread-1, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735384810959, pool-1-thread-4, [ADD] FAILED, 8 exists in the list.
577735386968459, pool-1-thread-3, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735387086125, pool-1-thread-3, [REMOVE] FAILED, 8 does not exist in the list.
577735387105875, pool-1-thread-3, [REMOVE] FAILED, 8 does not exist in the list.
577735387121959, pool-1-thread-3, [REMOVE] FAILED, 8 does not exist in the list.
577735387136667, pool-1-thread-3, [CONTAINS] FAILED, 8 does not exist in the list.
577735387281625, pool-1-thread-2, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735387465292, pool-1-thread-2, [ADD] FAILED, 8 exists in the list.
577735387484542, pool-1-thread-2, [ADD] FAILED, 8 exists in the list.
577735387501542, pool-1-thread-2, [ADD] FAILED, 8 exists in the list.
577735387417625, pool-1-thread-5, [ADD] FAILED, 8 exists in the list.
577735387520167, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735387550042, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735387053459, pool-1-thread-1, [CONTAINS] FAILED, 8 does not exist in the list.
577735387587584, pool-1-thread-7, [ADD] FAILED, 8 exists in the list.
577735386973250, pool-1-thread-8, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735387622125, pool-1-thread-7, [REMOVE] FAILED, 8 does not exist in the list.
577735387669542, pool-1-thread-7, [CONTAINS] FAILED, 8 does not exist in the list.
577735387593000, pool-1-thread-1, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735387709250, pool-1-thread-1, [ADD] FAILED, 8 exists in the list.
577735387727000, pool-1-thread-1, [ADD] FAILED, 8 exists in the list.
577735387547584, pool-1-thread-5, [REMOVE] FAILED, 8 does not exist in the list.
577735387761000, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735387778250, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735387742584, pool-1-thread-1, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735387642542, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735387807084, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735387794542, pool-1-thread-5, [ADD] FAILED, 8 exists in the list.
577735387840542, pool-1-thread-3, [REMOVE] FAILED, 8 does not exist in the list.
577735387880209, pool-1-thread-3, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735387840667, pool-1-thread-8, [CONTAINS] FAILED, 8 does not exist in the list.
577735387810417, pool-1-thread-1, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735387934417, pool-1-thread-6, [ADD] FAILED, 8 exists in the list.
577735387691542, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735387900125, pool-1-thread-3, [ADD] SUCCEEDED, 8 added to the list.
577735387972834, pool-1-thread-6, [ADD] FAILED, 8 exists in the list.
577735387209709, pool-1-thread-4, [ADD] SUCCEEDED, 8 added to the list.
577735387939084, pool-1-thread-1, [ADD] FAILED, 8 exists in the list.
577735387567834, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735387921542, pool-1-thread-8, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735387858334, pool-1-thread-5, [ADD] SUCCEEDED, 8 added to the list.
577735387988584, pool-1-thread-7, [ADD] FAILED, 8 exists in the list.
577735388127500, pool-1-thread-6, [CONTAINS] FAILED, 8 does not exist in the list.
577735388113500, pool-1-thread-5, [REMOVE] FAILED, 8 does not exist in the list.
577735388087792, pool-1-thread-4, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735388054417, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735388058875, pool-1-thread-1, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735388162959, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735388154500, pool-1-thread-6, [ADD] SUCCEEDED, 8 added to the list.
577735388134917, pool-1-thread-7, [CONTAINS] FAILED, 8 does not exist in the list.
577735388279250, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735388276334, pool-1-thread-7, [ADD] FAILED, 8 exists in the list.
577735388080250, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735388182292, pool-1-thread-4, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735388424209, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735388375334, pool-1-thread-6, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735388319125, pool-1-thread-1, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735388080959, pool-1-thread-8, [ADD] SUCCEEDED, 8 added to the list.
577735388849792, pool-1-thread-3, [ADD] FAILED, 8 exists in the list.
577735388704209, pool-1-thread-5, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735388775709, pool-1-thread-7, [ADD] SUCCEEDED, 8 added to the list.
577735388874459, pool-1-thread-6, [ADD] FAILED, 8 exists in the list.
577735388890917, pool-1-thread-1, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735393782000, pool-1-thread-1, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735388809250, pool-1-thread-2, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735391309042, pool-1-thread-3, [ADD] SUCCEEDED, 8 added to the list.
577735392449250, pool-1-thread-7, [ADD] FAILED, 8 exists in the list.
577735391152459, pool-1-thread-5, [CONTAINS] FAILED, 8 does not exist in the list.
577735393907959, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735388829625, pool-1-thread-4, [ADD] SUCCEEDED, 8 added to the list.
577735393942292, pool-1-thread-1, [ADD] FAILED, 8 exists in the list.
577735393951459, pool-1-thread-4, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735393971750, pool-1-thread-1, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735388903625, pool-1-thread-8, [REMOVE] SUCCEEDED, 8 is removed form the list.
577735393926417, pool-1-thread-5, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735393608750, pool-1-thread-6, [CONTAINS] SUCCEEDED, 8 exists in the list.
577735394133125, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735394156500, pool-1-thread-2, [CONTAINS] FAILED, 8 does not exist in the list.
577735394174917, pool-1-thread-2, [ADD] SUCCEEDED, 8 added to the list.
577735394190250, pool-1-thread-2, [ADD] FAILED, 8 exists in the list.
